Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Ниме нꙋ поате слꙋжи адои домни, къ саꙋ пρе ꙋнꙋл ва ꙋρѫ, ши пρе алтꙋл ва ꙟдρѫџи: аꙋде ѹнꙋл съва цинѣ ши пре алтꙋлъ нꙋва сокоти, нꙋ пꙋтец слꙋжи лꙋи дꙋмнеѕъꙋ ши лꙋи мамон.	Nimeni nu poate să slujească la doi domni, căci sau pe unul îl va urî și pe celălalt îl va iubi, sau de unul se va lipi și pe celălalt îl va disprețui; nu puteți să slujiți lui Dumnezeu și lui mamona.
Деρепть ачѣѧ зик воаѡ, нꙋвѫ гρижиρец де вїѩца воастρѫ, чевец мъꙟка ши че вець бѣ: неч тρꙋпꙋρиле воастре кꙋ че ле вецъ ꙟбρѫка, аꙋ нꙋ ѧсте Сꙋфлетꙋл маи маρе де къть χρана, ши тρꙋпꙋл декъть вешминтеле.	De aceea zic vouă: Nu vă îngrijiți pentru sufletul vostru ce veți mânca, nici pentru trupul vostru cu ce vă veți îmbrăca; au nu este sufletul mai mult decât hrana și trupul decât îmbrăcămintea?
Каꙋтаци спρе пасѫρиле чеρюлꙋн, каρеле нꙋ самънѫ, нече сѣчеρѫ, неч адꙋнѫ ꙟжитницѫ, ши татѫлъ востρꙋ чель дин чеρю ле χρьнѣще пρе ѧле, аꙋ нꙋ сънтец вои маи бꙋн де ѧле ?	Priviți la păsările cerului, că nu seamănă, nici nu seceră, nici nu adună în jitnițe, și Tatăl vostru Cel ceresc le hrănește. Oare nu sunteți voi cu mult mai presus decât ele?
Даρѫ чине дентρе вои поате кꙋ кѫщига съ адаѡгъ статꙋль съꙋ кꙋ ѹнъ коть.	Și cine dintre voi, îngrijindu-se poate să adauge staturii sale un cot?
Ши пентρꙋ вешмънть чевѫ грижиц? Сокотиць кρѵнїи къмпилѡр кꙋмь кρескъ, нꙋ лꙋкρѫ неч тоρкь.	Iar de îmbrăcăminte de ce vă îngrijiți? Luați seama la crinii câmpului cum cresc: nu se ostenesc, nici nu torc.
Ѩρѫ зикь воаѡ,кѫ неч Соломѡн ꙟтρꙋ тоатѫ слава лꙋи наꙋ фость ꙟбρъкатъ ка ѹнꙋль де ачѣстѣ.	Și vă spun vouă că nici Solomon, în toată mărirea lui, nu s-a îmbrăcat ca unul dintre aceștia.
Даρѫ ѩрба къмпꙋлꙋи каρѣ ѧсте астѫзи, ѩρѫ мъине съ ꙟкоптоρю аρꙋнкъ, дꙋмнеѕъꙋ ашѧ ѡл ꙟбρакѫ : аꙋ нꙋ кꙋ маи мꙋлт пρевои ѡ пꙋцин кρединчоши.	Iar dacă iarba câmpului, care astăzi este și mâine se aruncă în cuptor, Dumnezeu astfel o îmbracă, oare nu cu mult mai mult pe voi, puțin credincioșilor?
Деч нꙋвѫ грижирец,зикънд,че вом мънка, саꙋ че вом бѣ , Саꙋ кꙋ че не вомь ꙟбρѫка.	Deci, nu duceți grijă, spunând: Ce vom mânca, ori ce vom bea, ori cu ce ne vom îmbrăca?
Къ тоате ачѣстѣ лимбиле чеρь, къ щие татѫл востρꙋ деꙟчеρю къвѫ тρебꙋескꙋ ачѣстѣ тоате.	Că după toate acestea se străduiesc neamurile; știe doar Tatăl vostru Cel ceresc că aveți nevoie de ele.
Че чѣρец маинте ꙟпъρъцїѧ лꙋи Дꙋмнеѕъи, ши деρептатѣ лꙋи, ши тоате ачѣстѣ се воρь адаоџе воаѡ.	Căutați mai întâi împărăția lui Dumnezeu și dreptatea Lui și toate acestea se vor adăuga vouă.
Деρепт ачѣѧ,нꙋвѫ гρижиρеци де мъине,кѫ зꙋа де мъине сънгꙋρѫ съ гρижѫще де сине. аџюнџеи зилеи гρижѣ Еи.	Nu vă îngrijiți de ziua de mâine, căci ziua de mâine se va îngriji de ale sale. Ajunge zilei răutatea ei.
Нꙋ џюдекаρець касѫ нꙋ фиць џюдекац.	Nu judecați, ca să nu fiți judecați.
Къ кꙋ че џюдекатѫ веци џюдека, џюдекавъвець : ши кꙋче мѫсꙋρѫ веци мъсꙋρа, съва мѫсꙋρа воаѡ.	Căci cu judecata cu care judecați, veți fi judecați, și cu măsura cu care măsurați, vi se va măsura.
Дарѫ че каꙋц щеρкꙋл ꙟ окюл фρателꙋи тъꙋ, даρѫ бъρна каρеи ꙟ окюл тъꙋ, нꙋ ѡл ѧи аминте.	De ce vezi paiul din ochiul fratelui tău, și bârna din ochiul tău nu o iei în seamă?
Ши кꙋмъ зич фρателꙋи тъꙋ, ласѫ съ скоц ѡцапокꙋль де ꙟ окюль тъꙋ, ши ѩкаи бъρна ꙟ окюлъ тъꙋ.	Sau cum vei zice fratelui tău: Lasă să scot paiul din ochiul tău și iată bârna este în ochiul tău?
Фъцаρниче скоате ꙟтъи бъρна де ꙟ окюл тъꙋ, ши атꙋнчѣ каꙋтѫ де скоате ѡцапокꙋл де ꙟ окюл фρателꙋи тъꙋ.	Fățarnice, scoate întâi bârna din ochiul tău și atunci vei vedea să scoți paiul din ochiul fratelui tău.
Нꙋ даρец Сфынта кънилѡр, нече въρсаρец мъρгъρитареле воастρе ꙟнаинтѣ порчилѡр, съ нꙋл калче кꙋмва сꙋптъ пнчоаρеле лѡр,ши ꙟтоρкъндꙋсѫ сънꙋ ρꙋмпѫ пρе вои.	Nu dați cele sfinte câinilor, nici nu aruncați mărgăritarele voastre înaintea porcilor, ca nu cumva să le calce în picioare și, întorcându-se, să vă sfâșie pe voi.
Чѣρец ши съва да воаѡ : къꙋтац ши вец афла, Сꙋнац ши съва дешкиде воаѡ.	Cereți și vi se va da; căutați și veți afla; bateți și vi se va deschide.
Къ тотъ чине че чѣρе лꙋава, ши чине каꙋтѫ афлѫ: ши челꙋи че бате, исѫ дешкиде.	Că oricine cere ia, cel care caută află, și celui ce bate i se va deschide.
Саꙋ чине ѧсте дентρꙋ вои ѡм, де ла каρеле аρе чѣρе фечоρꙋл лꙋи пъине,аꙋ даи ва лꙋи пїатρѫ . ши деаρе чѣρе пѣще аꙋ шѣрпеи ва да лꙋи?	Sau cine este omul acela între voi care, de va cere fiul său pâine, oare el îi va da piatră?
Деч фїинд вои ρъи, щиць да бꙋне фїилѡρ вощρи, даρѫ кꙋ кът маи мꙋлт татъл востρꙋ чель дин чеρюρе ва да бꙋне челоρь че чеρ дела Ель.	Sau de-i va cere pește, oare el îi va da șarpe?
Тоате адекѫ къте аци вρѣ съ факѫ воаѡ ѡаменїи, ашѣ ши вои фачец лѡр,къ ачаста ѧсте лѣџѣ ши пρорочїи.	Deci, dacă voi, răi fiind, știți să dați daruri bune fiilor voștri, cu cât mai mult Tatăl vostru Cel din ceruri va da cele bune celor care cer de la El?
ꙟтρац пре поаρтѫ стρъмтѫ : къ поарта чѣ лаρгѫ ши калѣ латѫ дꙋче ꙟпеρиρе,ши мꙋлци сънт де каρїи ꙟтρѫ пρїꙟѧ.	Ci toate câte voiți să vă facă vouă oamenii, asemenea și voi faceți lor, că aceasta este Legea și proorocii.
Ѩρѫ поарта стρъмтѫ, ши калѣ ꙟгꙋстѫ, ѧсте каρѣ дꙋче ꙟвїѩцѫ, ши пꙋцини сънт каρїи афлѫ пре ѧ.	Intrați prin poarta cea strâmtă, că largă este poarta și lată este calea care duce la pieire și mulți sunt cei care o află.
Лꙋацивѫ аминте де пророч минчюнош, каρїи вин кътρѫ вои ꙟвешмителе ѡилѡр, ѩρѫ денлонтρꙋ сънть лꙋпи ρъпитоρи.	Și strâmtă este poarta și îngustă este calea care duce la viață și puțini sunt care o află.
Деꙟродꙋль лѡр ꙟи вець кꙋноаще пρе еи, аꙋ доаρь воρ кꙋлѣџе деꙟспин стρꙋгꙋρи, саꙋ дин скаи Смокине?	Feriți-vă de proorocii mincinoși, care vin la voi în haine de oi, iar pe dinăuntru sunt lupi răpitori.
Ашѧ тот помꙋл бꙋн поаме бꙋне фаче, ѩρѫ помꙋл ρъꙋ поаме ρѣле фаче.	După roadele lor îi veți cunoaște. Au doară culeg oamenii struguri din spini sau smochine din mărăcini?
Нꙋ поате помꙋль бꙋнь поаме ρѣле съ факѫ, неч помꙋль ρъꙋ поаме бꙋне съ факѫ.	Așa că orice pom bun face roade bune, iar pomul rău face roade rele.
Тот помꙋл че нꙋ фаче поаме бꙋне таесѫ ши ꙟфок аρꙋнкѫс.	Nu poate pom bun să facă roade rele, nici pom rău să facă roade bune.
Деч де ꙟпоамеле лѡρ ꙟи вец кꙋноаще пρе еи.	Iar orice pom care nu face roadă bună se taie și se aruncă în foc.
Нꙋ тот чинеми ва зиче мїе доамне доамне, ва ꙟтρа ꙟпъρъцїѧ чеρюρелѡр, че чела че ва фаче воѧ татълꙋи мїеꙋ чине ѧсте ꙟчеρю.	De aceea, după roadele lor îi veți cunoaște.
Мꙋлци воρ зиче мїе ꙟзꙋа ачѣѧ, доамне доамне, аꙋ нам пρоρочит ꙟнꙋмеле тъꙋ; ши кꙋ нꙋмеле тъꙋ дρачїи ам скось. ши кꙋ нꙋмеле тъꙋ мꙋлте чюде ам фъкꙋт.	Nu oricine Îmi zice: Doamne, Doamne, va intra în împărăția cerurilor, ci cel ce face voia Tatălui Meu Celui din ceruri.
Ши атꙋнчи вою мъρтꙋρиси лѡр , къ неч ѡдатѫ нꙋ вамь щиꙋт пре вои, делꙋнгацивѫ дела мине тоци каρїи фачець хикленїе.	Mulți Îmi vor zice în ziua aceea: Doamne, Doamne, au nu în numele Tău am proorocit și nu în numele Tău am scos demoni și nu în numele Tău minuni multe am făcut?
Деч тот кареле аꙋде кꙋвинтеле мѣле ачѣстѣ ши ле фаче, асамънꙋл пρе ел ѡмꙋлꙋи ꙟцелепт, каρелеш фѣче каса лꙋи пρе пїатρѫ.	Și atunci voi mărturisi lor: Niciodată nu v-am cunoscut pe voi. Depărtați-vă de la Mine cei ce lucrați fărădelegea.
Ши погоρъ плоае, ши венирѫ ρъꙋρе,ши сꙋфлаρѫ вънтꙋρе ши ловиρѫ ꙟкаса ачѣѧ, ши нꙋ къζꙋ къ еρа темеѩтѫ пρе пѩтρѫ.	De aceea, oricine aude aceste cuvinte ale Mele și la îndeplinește asemăna-se-va bărbatului înțelept care a clădit casa lui pe stâncă.
Ши тот ѡмꙋл каρеле аꙋде кꙋвинтеле мѣле ачѣстѣ, ши нꙋи фаче,асаманъ сѫ ѡмꙋлꙋи небꙋн,каρелеш фаче каса лꙋи пρе нъсип.	A căzut ploaia, au venit râurile mari, au suflat vânturile și au bătut în casa aceea, dar ea n-a căzut, fiindcă era întemeiată pe stâncă.
Ши погоρѫ плоаѧ ши вениρѫ ρъꙋре,ши сꙋфларѫ вънтꙋре, ши съ ловиρѫ де каса ачѣѧ ши къζꙋ,	Iar oricine aude aceste cuvinte ale Mele și nu le îndeplinește, asemăna-se-va bărbatului nechibzuit care și-a clădit casa pe nisip.
ши фꙋ ρъсипирѣ еи маρе.	Și a căzut ploaia și au venit râurile mari și au suflat vânturile și au izbit casa aceea, și a căzut. Și căderea ei a fost mare.
Ши фꙋ дѣка сфρъши ЇС кꙋвинтеле ачѣстѣ, съ миρаρѫ нъρоаделе де ꙟвъцътꙋρа лꙋи.	Iar când Iisus a sfârșit cuvintele acestea, mulțimile erau uimite de învățătura Lui.
Къ ꙟвъца пρе еи,ка чела че аρе пꙋтѣρе,ши нꙋ ка къρтꙋлаρїи.	Că îi învăța pe ei ca unul care are putere, iar nu cum îi învățau cărturarii lor.
Ѩρѫ погоρиндꙋсѫ Ел де ꙟмꙋнте, мѣρсъρѫ дꙋпѫ Ел мꙋлциме мꙋлтѫ.	Și coborându-Se El din munte, mulțimi multe au mers după El.
Ши ѩка ѹн бꙋбос, венинд съ ꙟкинѫ лꙋи,зикънд, доамне, де веи вρѣ, поци мѫ кꙋρъци.	Și iată un lepros, apropiindu-se, I se închina, zicând: Doamne, dacă voiești, poți să mă curățești.
Ши тинζънд ЇС мъна атинсе пρе Ел,зикъндь, воѧмїе кꙋρѫцѣщете, ши нꙋмаи декът исѫ кꙋρъци лꙋи бꙋбъвїѧ.	Și Iisus, întinzând mâna, S-a atins de el, zicând: Voiesc, curățește-te. Și îndată s-a curățit lepra lui.
Ши зис ЇС лꙋи, каꙋтѫ немънꙋи съ нꙋ спꙋи, че пасѫ дете аρатѫ пρеѡтꙋлꙋи, ши дꙋ дарꙋл каρеле аꙋ поρꙋнчит Мѡѵси ꙟтρꙋ мъρтꙋρїѧ лѡρ.	Și i-a zis Iisus: Vezi, nu spune nimănui, ci mergi, arată-te preotului și adu darul pe care l-a rânduit Moise, spre mărturie lor.
Ѩρѫ ꙟтρѫндь ЇС ꙟКапеρнаꙋмь, съ апρопїе кътρѫ Ель ѹн сꙋташ ρꙋгъндь пρе Ель:	Pe când intra în Capernaum, s-a apropiat de El un sutaș, rugându-L,
ши гρъинд Доамне, фечоρꙋл мїеꙋ заче ꙟкасѫ слъбѫног ши юте съ кинꙋѧще.	Și zicând: Doamne, sluga mea zace în casă, slăbănog, chinuindu-se cumplit.
Ши зисе ЇС лꙋи, Еꙋ вою вени ши вои виндека пρе Ель.	Și i-a zis Iisus: Venind, îl voi vindeca.
Ши ρъспꙋнсе сꙋташꙋль, зисе,доамне, нꙋ сънтъ дестоиникь сѫ ꙟтρи ꙟкаса мѣ,че нꙋмаи зи кꙋвънтꙋль, ши съва виндека фечоρꙋль мїеꙋ.	Dar sutașul, răspunzând, I-a zis: Doamne, nu sunt vrednic să intri sub acoperișul meu, ci numai zi cu cuvântul și se va vindeca sluga mea.
Къ ши Еꙋ сънть ѡмь, Сꙋпт пꙋтѣρе ρъндꙋить , ши амь сꙋпть мине витѣжи : ши зикь честꙋѧ, пасѫ: ши мѣρџе, ши алтꙋѧ вино,ши вине,ши слꙋџїи мѣле,фъ ачаста,ши фаче.	Că și eu sunt om sub stăpânirea altora și am sub mine ostași și-i spun acestuia: Du-te, și se duce; și celuilalt: Vino, și vine; și slugii mele: Fă aceasta, și face.
Ѩρѫ дѣка аꙋζи ЇС  ачѣстѣ, съ миρѫ : ши зисе челѡρь че меρџѣ дꙋпѫ Ель,адевъρь гρъеск воаѡ, неч ꙟ Їζρаили нꙋ афлаю атъта кρединцѫ .	Auzind, Iisus S-a minunat și a zis celor ce veneau după El: Adevărat grăiesc vouă: la nimeni, în Israel, n-am găsit atâta credință.
ꙟсѫ вѫ зикь воаѡ : къ мꙋлци дела ρъсъρить,ши дела апꙋс воρь вени, ши съ воρь ρъпъꙋса кꙋ Авρаамь, ши кꙋ Їсаакь , ши кꙋ Їакѡвь , ꙟпъρъцїѧ чеρюρелоρь .	Și zic vouă că mulți de la răsărit și de la apus vor veni și vor sta la masă cu Avraam, cu Isaac și cu Iacov în împărăția cerurilor.
Ѩρѫ фїи ꙟпъρъцїеи съ вѡр аρꙋнка ꙟтꙋнеρечеле де афарѫ, аколо вафи плѫнџеρе ши скρъшниρѣ динцилоρь.	Iar fiii împărăției vor fi aruncați în întunericul cel mai din afară; acolo va fi plângerea și scrâșnirea dinților.
Ши зисе ЇС сꙋташꙋлꙋи : пасѫ, ши нꙋмаи кρеζꙋт, фїе цїе ши съ виндекѫ фечоρꙋл лꙋи ꙟтρачель чась.	Și a zis Iisus sutașului: Du-te, fie ție după cum ai crezut. Și s-a însănătoșit sluga lui în ceasul acela.
Ши вине ЇС ꙟкаса лꙋи Пътρꙋ, въζꙋ пρе соакρа лꙋи зъкъндꙋ ꙟпать де фρигꙋρи.	Și venind Iisus în casa lui Petru, a văzut pe soacra acestuia zăcând, prinsă de friguri.
